Timestamp,SensorValue
1763900530.2341986,0.09
1763900530.2910032,0.66
1763900530.366629,1.42
1763900530.3916428,1.66
1763900530.4106696,1.85
1763900530.4326808,2.07
1763900530.47799,2.5
1763900530.5413241,3.11
1763900530.608831,3.75
1763900530.663778,4.25
1763900530.7306821,4.85
1763900530.8029788,5.46
1763900530.839954,5.77
1763900530.851728,5.87
1763900530.8986642,6.24
1763900530.9136376,6.36
1763900530.9506269,6.64
1763900530.9887633,6.92
1763900531.0226681,7.14
1763900531.0999506,7.68
1763900531.203326,8.25
1763900531.2616682,8.6
1763900531.270493,8.65
1763900531.3597684,9.07
1763900531.4437952,9.39
1763900531.5096674,9.59
1763900531.5446541,9.69
1763900531.5717223,9.75
1763900531.61671,9.84
1763900531.652675,9.9
1763900531.7316556,9.98
1763900531.7547116,9.99
1763900531.8527126,9.98
1763900531.9057143,9.94
1763900531.9916224,9.81
1763900532.025609,9.74
1763900532.0996885,9.54
1763900532.174047,9.31
1763900532.2386532,9.03
1763900532.3285491,8.62
1763900532.3984487,8.24
1763900532.421639,8.1
1763900532.5293684,7.48
1763900532.593657,6.98
1763900532.6546102,6.53
1763900532.7330024,5.93
1763900532.743677,5.84
1763900532.7816021,5.53
1763900532.7957368,5.4
1763900532.8147416,5.24
1763900532.828778,5.12
1763900532.8956,4.54
1763900532.9308355,4.22
1763900532.9847393,3.72
1763900533.0613406,3.03
1763900533.1078722,2.58
1763900533.121895,2.42
1763900533.219164,1.47
1763900533.3038921,0.63
1763900533.3445137,0.25
1763900533.4277933,-0.61
1763900533.4525173,-0.85
1763900533.5407777,-1.74
1763900533.6229715,-2.54
1763900533.6777961,-3.06
1763900533.7358968,-3.61
1763900533.806902,-4.26
1763900533.9057815,-5.14
1763900534.0102859,-5.96
1763900534.0447464,-6.28
1763900534.1157982,-6.81
1763900534.1768444,-7.25
1763900534.2659009,-7.8
1763900534.271894,-7.86
1763900534.3699079,-8.43
1763900534.4109607,-8.65
1763900534.4917355,-9.02
1763900534.508787,-9.1
1763900534.556891,-9.29
1763900534.6433632,-9.56
1763900534.679813,-9.67
1763900534.7338188,-9.79
1763900534.8058295,-9.91
1763900534.8637931,-9.97
1763900534.9481158,-10.0
1763900534.9683876,-10.0
1763900535.0089526,-9.97
1763900535.0997427,-9.87
1763900535.117041,-9.84
1763900535.148478,-9.78
1763900535.2186558,-9.61
1763900535.2668734,-9.46
1763900535.2928233,-9.37
1763900535.3697603,-9.08
1763900535.4500194,-8.71
1763900535.466792,-8.66
1763900535.4870183,-8.53
1763900535.5097482,-8.4
1763900535.55091,-8.18
1763900535.5980606,-7.9
1763900535.6457038,-7.59
1763900535.704982,-7.2
1763900535.7677734,-6.74
1763900535.7978647,-6.54
1763900535.804831,-6.47
1763900535.8474126,-6.18
1763900535.9356833,-5.41
1763900535.991784,-4.94
1763900536.0197387,-4.69
1763900536.1007733,-3.97
1763900536.1622293,-3.43
1763900536.188847,-3.14
1763900536.211805,-2.92
1763900536.2781007,-2.28
1763900536.307137,-2.0
1763900536.393117,-1.15
1763900536.454126,-0.54
1763900536.4968677,-0.11
1763900536.5628276,0.55
1763900536.5757122,0.68
1763900536.6290112,1.21
1763900536.6724212,1.61
1763900536.7066698,1.98
1763900536.7808425,2.69
1763900536.8328555,3.19
1763900536.8615108,3.4
1763900536.9339004,4.13
1763900536.9549403,4.32
1763900536.9992008,4.71
1763900537.063039,5.27
1763900537.1301777,5.83
1763900537.1399326,5.91
1763900537.2118783,6.47
1763900537.222427,6.55
1763900537.3162122,7.23
1763900537.3786805,7.65
1763900537.4359522,8.0
1763900537.49393,8.34
1763900537.5857768,8.8
1763900537.6116998,8.93
1763900537.7021527,9.3
1763900537.7580345,9.49
1763900537.8570101,9.75
1763900537.9567597,9.92
1763900537.9738216,9.94
1763900538.0078557,9.97
1763900538.0861735,10.0
1763900538.1618736,9.97
1763900538.21076,9.91
1763900538.2738929,9.81
1763900538.3530617,9.63
1763900538.4297523,9.39
1763900538.4821491,9.2
1763900538.541792,8.95
1763900538.5947328,8.7
1763900538.630045,8.52
1763900538.6638198,8.34
1763900538.7596314,7.79
1763900538.815507,7.42
1763900538.8406882,7.23
1763900538.8893747,6.91
1763900538.957816,6.38
1763900539.0418415,5.74
1763900539.1082284,5.16
1763900539.1827831,4.5
1763900539.2799087,3.61
1763900539.3100433,3.33
1763900539.33879,3.06
1763900539.4247031,2.27
1763900539.499813,1.49
1763900539.5387921,1.17
1763900539.5868905,0.63
1763900539.6464438,0.16
1763900539.7029965,-0.53
1763900539.7851107,-1.35
1763900539.8169575,-1.49
1763900539.9031255,-2.32
1763900539.9158316,-2.57
1763900539.994785,-3.33
1763900540.050002,-3.9
1763900540.1564195,-4.66
1763900540.1684422,-4.87
1763900540.261305,-5.65
1763900540.26399,-5.73
1763900540.2919433,-5.96
1763900540.3184204,-6.2
1763900540.360622,-6.47
1763900540.4255853,-7.0
1763900540.441777,-7.12
1763900540.4684224,-7.26
1763900540.5129862,-7.55
1763900540.5184073,-7.63
1763900540.603384,-8.14
1763900540.6548126,-8.42
1763900540.726051,-8.8
1763900540.8239486,-9.22
1763900540.8821812,-9.43
1763900540.9319062,-9.59
1763900541.0141191,-9.78
1763900541.0410712,-9.84
1763900541.1021702,-9.93
1763900541.1411276,-9.97
1763900541.187189,-9.99
1763900541.2000833,-10.0
